"";"Artikel";"name";"Bruttobetrag";"Nettobetrag";"Verkaufte.Stücke";"Gewicht.verkauft";"Durchschnittlicher.Preis";"Rabattierter.Betrag";"Durchschnittlicher.Rabatt";"Referenzbetrag";"Ref..";"Tot..Umsatz";"source";"year"
"100";"A10063";"Frucht 1.00";7;7;7;NA;1;0;0;7;100;0,0849339335331303;"KW03.xlsx";2016
"101";"A10073";"Saisonfrüchte geschnitten";3,5;3,5;1;NA;3,5;0;0;3,5;100;0,0424669667665652;"KW03.xlsx";2016
"102";"A10101";"Ragusa-Gipfel ";10,6;10,6;4;NA;2,65;0;0;10,6;100;0,128614242207312;"KW03.xlsx";2016
"103";"A10102";"Mandelgipfel ";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0291202057827875;"KW03.xlsx";2016
"104";"A10103";"Vanille-Gipfel";7,2;7,2;3;NA;2,4;0;0;7,2;100;0,0873606173483626;"KW03.xlsx";2016
"105";"A10111";"Schoggi Fair";8,8;8,8;4;NA;2,2;0;0;8,8;100;0,106774087870221;"KW03.xlsx";2016
"106";"A10120";"Mandelbrezel ";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0291202057827875;"KW03.xlsx";2016
"107";"A10121";"Mandelschnecke ";11,1;11,1;4;NA;2,78;0;0;11,1;100;0,134680951745392;"KW03.xlsx";2016
"108";"A10122";"Nussbrille";2,9;2,9;1;NA;2,9;0;0;2,9;100;0,0351869153208683;"KW03.xlsx";2016
"109";"A10127";"Aprikosenplunder";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0291202057827875;"KW03.xlsx";2016
"110";"A10128";"Aprikosenjalousie";5,3;5,3;2;NA;2,65;0;0;5,3;100;0,0643071211036558;"KW03.xlsx";2016
"111";"A10130";"Vanillekreuz";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0291202057827875;"KW03.xlsx";2016
"112";"A10135";"Wähe";11,7;11,7;3;NA;3,9;0;0;11,7;100;0,141961003191089;"KW03.xlsx";2016
"113";"A10144";"Trockengebäck 100g verpackt";2,2;2,2;1;NA;2,2;0;0;2,2;100;0,0266935219675552;"KW03.xlsx";2016
"114";"A10148";"Fruchttörtli";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0291202057827875;"KW03.xlsx";2016
"115";"A10162";"Bienenstich";2,4;2,4;1;NA;2,4;0;0;2,4;100;0,0291202057827875;"KW03.xlsx";2016
"116";"A10200";"Birchermüesli Classic";10,1;10,1;3;NA;3,37;0;0;10,1;100;0,122547532669231;"KW03.xlsx";2016
"117";"A10409";"Sandwich Appenzell";12;12;2;NA;6;0;0;12;100;0,145601028913938;"KW03.xlsx";2016
"118";"A10410";"Sandwich Milano";8,5;8,5;2;NA;4,25;0;0;8,5;100;0,103134062147373;"KW03.xlsx";2016
"119";"A10411";"Sandwich Power Ham";12;12;3;NA;4;0;0;12;100;0,145601028913938;"KW03.xlsx";2016
"120";"A10412";"Sandwich Gruyere";8;8;2;NA;4;0;0;8;100;0,0970673526092918;"KW03.xlsx";2016
"121";"A10414";"Sandwich Ham & Cheese";11,5;11,5;2;NA;5,75;0;0;11,5;100;0,139534319375857;"KW03.xlsx";2016
"122";"A10416";"Sandwich Ticinese";24,5;24,5;4;NA;6,13;0;0;24,5;100;0,297268767365956;"KW03.xlsx";2016
"123";"A10430";"Bagel Sandwich Fisherman's Catch";17;17;3;NA;5,67;0;0;17;100;0,206268124294745;"KW03.xlsx";2016
"124";"A10432";"Bagel Sandwich Turkey Classic";5,5;5,5;1;NA;5,5;0;0;5,5;100;0,0667338049188881;"KW03.xlsx";2016
"125";"A10438";"FB Sandwich Ham & Co";5,5;5,5;1;NA;5,5;0;0;5,5;100;0,0667338049188881;"KW03.xlsx";2016
"126";"A10440";"FB Sandwich Hammer Ham";11;11;2;NA;5,5;0;0;11;100;0,133467609837776;"KW03.xlsx";2016
"127";"A10450";"Sandwich Laugenkaiser";8,5;8,5;2;NA;4,25;0;0;8,5;100;0,103134062147373;"KW03.xlsx";2016
"128";"A10451";"Sandwich Bauette";10;10;2;NA;5;0;0;10;100;0,121334190761615;"KW03.xlsx";2016
"129";"Total Gruppe";NA;8241,7;8241,7;1128;11,504;7,31;0;0;8241,7;NA;100;"KW03.xlsx";2016
"130";"A10000";"Küche";115;115;22;NA;5,23;0;0;115;100;1,47305588645941;"KW04.xlsx";2016
"131";"A10001";"Favorite";2808;2808;349;NA;8,05;0;0;2808;100;35,9681819928525;"KW04.xlsx";2016
