ID;Artikel;NA;Bruttobetrag;Nettobetrag;Verkaufte Stücke;Gewicht verkauft;Durchschnittlicher Preis;Referenzbetrag;Ref %;Tot %Umsatz;source;year
932;A10020;Local 0;294;294;38;0;7.74;294;100;7.02;KW29.xlsx;2016
933;A10040;Garden;288.5;288.5;41;12.49;23.09;288.5;100;6.89;KW29.xlsx;2016
934;A10063;Frucht 1.00;2;2;2;0;1;2;100;0.05;KW29.xlsx;2016
935;A10072;Schichtjoghurt;9;9;3;0;3;9;100;0.21;KW29.xlsx;2016
936;A10073;Saisonfrüchte geschnitten;10.5;10.5;3;0;3.5;10.5;100;0.25;KW29.xlsx;2016
937;A10100;Gipfel;2.6;2.6;2;0;1.3;2.6;100;0.06;KW29.xlsx;2016
938;A10101;Ragusa-Gipfel ;7.2;7.2;3;0;2.4;7.2;100;0.17;KW29.xlsx;2016
939;A10103;Vanille-Gipfel;2.4;2.4;1;0;2.4;2.4;100;0.06;KW29.xlsx;2016
940;A10108;Laugenbrezel mit Butter;4.6;4.6;2;0;2.3;4.6;100;0.11;KW29.xlsx;2016
941;A10112;Maisbrötli;6.8;6.8;4;0;1.7;6.8;100;0.16;KW29.xlsx;2016
942;A10114;Fitnessbrötli ;3.4;3.4;2;0;1.7;3.4;100;0.08;KW29.xlsx;2016
943;A10121;Mandelschnecke ;4.8;4.8;2;0;2.4;4.8;100;0.11;KW29.xlsx;2016
944;A10135;Wähe;3.9;3.9;1;0;3.9;3.9;100;0.09;KW29.xlsx;2016
945;A10144;Trockengebäck 100g verpackt;2.7;2.7;1;0;2.7;2.7;100;0.06;KW29.xlsx;2016
946;A10160;Snacks;5;5;2;0;2.5;5;100;0.12;KW29.xlsx;2016
947;A10200;Birchermüesli Classic;12.8;12.8;4;0;3.2;12.8;100;0.31;KW29.xlsx;2016
948;A10409;Sandwich Appenzell;6;6;1;0;6;6;100;0.14;KW29.xlsx;2016
949;A10410;Sandwich Milano;8.5;8.5;2;0;4.25;8.5;100;0.2;KW29.xlsx;2016
950;A10413;Sandwich Start Your Day;4.5;4.5;1;0;4.5;4.5;100;0.11;KW29.xlsx;2016
951;A10417;Sandwich Softie;8;8;2;0;4;8;100;0.19;KW29.xlsx;2016
