Artikel,name,Bruttobetrag,Nettobetrag,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,Ref %,Tot %Umsatz,source,year
A10415,Sandwich Turkey,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.24,07.12.csv,2016
A10416,Sandwich Ticinese,6,6,1,NA,6,0,0,6,100,0.27,07.12.csv,2016
A10452,Crispy Chicken,6,6,1,NA,6,0,0,6,100,0.27,07.12.csv,2016
L19000,Brotwaren offen,9.5,9.5,3,NA,3.17,0,0,9.5,100,0.42,07.12.csv,2016
Total Gruppe,NA,2252.4,2252.4,301,17.252,7.48,0,0,2252.4,NA,100,07.12.csv,2016
A10000,Küche,2.5,2.5,1,NA,2.5,0,0,2.5,100,0.1,08.12.csv,2016
A10001,Favorite,1201,1201,138,NA,8.7,0,0,1201,100,46.9,08.12.csv,2016
A10002,Green,546,546,71,NA,7.69,0,0,546,100,21.32,08.12.csv,2016
A10005,Menu Suppe,7,7,4,NA,1.75,0,0,7,100,0.27,08.12.csv,2016
A10006,Menu Salat,14.5,14.5,9,NA,1.61,0,0,14.5,100,0.57,08.12.csv,2016
A10014,Kitchen 4,413,413,31,NA,13.32,0,0,413,100,16.13,08.12.csv,2016
A10040,Garden,310.8,310.8,42,13.464,23.08,0,0,310.8,100,12.14,08.12.csv,2016
A10063,Frucht 1.00,1,1,1,NA,1,0,0,1,100,0.04,08.12.csv,2016
A10108,Laugenbrezel mit Butter,4.4,4.4,2,NA,2.2,0,0,4.4,100,0.17,08.12.csv,2016
A10123,Russenzöpfli,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.09,08.12.csv,2016
A10135,Wähe,9,9,2,NA,4.5,0,0,9,100,0.35,08.12.csv,2016
A10139,Zitronencake-Schnitte 100g verpackt,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.19,08.12.csv,2016
A10409,Sandwich Appenzell,11,11,2,NA,5.5,0,0,11,100,0.43,08.12.csv,2016
A10410,Sandwich Milano,4,4,1,NA,4,0,0,4,100,0.16,08.12.csv,2016
A10411,Sandwich Power Ham,4,4,1,NA,4,0,0,4,100,0.16,08.12.csv,2016
A10413,Sandwich Start Your Day,4.5,4.5,1,NA,4.5,0,0,4.5,100,0.18,08.12.csv,2016
A10415,Sandwich Turkey,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.21,08.12.csv,2016
A10416,Sandwich Ticinese,6,6,1,NA,6,0,0,6,100,0.23,08.12.csv,2016
A10452,Crispy Chicken,6,6,1,NA,6,0,0,6,100,0.23,08.12.csv,2016
L19000,Brotwaren offen,3.5,3.5,1,NA,3.5,0,0,3.5,100,0.14,08.12.csv,2016
Total Gruppe,NA,2560.9,2560.9,313,13.464,8.18,0,0,2560.9,NA,100,08.12.csv,2016
A10000,Küche,6,6,1,NA,6,0,0,6,100,0.3,09.12.csv,2016
A10001,Favorite,923,923,118,NA,7.82,0,0,923,100,46.8,09.12.csv,2016
A10002,Green,560,560,75,NA,7.47,0,0,560,100,28.39,09.12.csv,2016
A10004,Brot Stück,0.6,0.6,2,NA,0.3,0,0,0.6,100,0.03,09.12.csv,2016
