Artikel,name,Bruttobetrag,Nettobetrag,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,Ref %,Tot %Umsatz,source,year
A10108,Laugenbrezel mit Butter,2.2,2.2,1,NA,2.2,0,0,2.2,100,0.11,25.10.csv,2016
A10112,Maisbrötli,1.7,1.7,1,NA,1.7,0,0,1.7,100,0.08,25.10.csv,2016
A10121,Mandelschnecke ,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.23,25.10.csv,2016
A10127,Aprikosenplunder,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.12,25.10.csv,2016
A10200,Birchermüesli Classic,6.4,6.4,2,NA,3.2,0,0,6.4,100,0.31,25.10.csv,2016
A10409,Sandwich Appenzell,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.27,25.10.csv,2016
A10413,Sandwich Start Your Day,9.5,9.5,2,NA,4.75,0,0,9.5,100,0.46,25.10.csv,2016
A10416,Sandwich Ticinese,6,6,1,NA,6,0,0,6,100,0.29,25.10.csv,2016
A10425,Sandwich Italien,6,6,1,NA,6,0,0,6,100,0.29,25.10.csv,2016
A10450,Sandwich Laugenkaiser,12,12,3,NA,4,0,0,12,100,0.58,25.10.csv,2016
A10451,Sandwich Bauette,5,5,1,NA,5,0,0,5,100,0.24,25.10.csv,2016
A10452,Crispy Chicken,12,12,2,NA,6,0,0,12,100,0.58,25.10.csv,2016
Total Gruppe,NA,2054.1,2054.1,288,11.214,7.13,0,0,2054.1,NA,100,25.10.csv,2016
A10000,Küche,1.3,1.3,1,NA,1.3,0,0,1.3,100,0.07,26.10.csv,2016
A10001,Favorite,1069,1069,139,NA,7.69,0,0,1069,100,55.81,26.10.csv,2016
A10002,Green,260,260,34,NA,7.65,0,0,260,100,13.57,26.10.csv,2016
A10004,Brot Stück,0.3,0.3,1,NA,0.3,0,0,0.3,100,0.02,26.10.csv,2016
A10005,Menu Suppe,18,18,12,NA,1.5,0,0,18,100,0.94,26.10.csv,2016
A10006,Menu Salat,24,24,16,NA,1.5,0,0,24,100,1.25,26.10.csv,2016
A10007,Senf Mayo Ketschup,0.5,0.5,1,NA,0.5,0,0,0.5,100,0.03,26.10.csv,2016
A10014,Kitchen 4,180,180,14,NA,12.86,0,0,180,100,9.4,26.10.csv,2016
A10040,Garden,288.9,288.9,41,12.52,23.08,0,0,288.9,100,15.08,26.10.csv,2016
A10063,Frucht 1.00,4,4,4,NA,1,0,0,4,100,0.21,26.10.csv,2016
A10139,Zitronencake-Schnitte 100g verpackt,9.6,9.6,4,NA,2.4,0,0,9.6,100,0.5,26.10.csv,2016
A10163,Bürli,1.4,1.4,1,NA,1.4,0,0,1.4,100,0.07,26.10.csv,2016
A10200,Birchermüesli Classic,12.8,12.8,4,NA,3.2,0,0,12.8,100,0.67,26.10.csv,2016
A10409,Sandwich Appenzell,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.29,26.10.csv,2016
A10410,Sandwich Milano,4,4,1,NA,4,0,0,4,100,0.21,26.10.csv,2016
A10413,Sandwich Start Your Day,9,9,2,NA,4.5,0,0,9,100,0.47,26.10.csv,2016
A10416,Sandwich Ticinese,6,6,1,NA,6,0,0,6,100,0.31,26.10.csv,2016
A10417,Sandwich Softie,4,4,1,NA,4,0,0,4,100,0.21,26.10.csv,2016
A10425,Sandwich Italien,6,6,1,NA,6,0,0,6,100,0.31,26.10.csv,2016
A10451,Sandwich Bauette,5,5,1,NA,5,0,0,5,100,0.26,26.10.csv,2016
A10452,Crispy Chicken,6,6,1,NA,6,0,0,6,100,0.31,26.10.csv,2016
