Artikel,name,Bruttobetrag,Nettobetrag,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,Ref %,Tot %Umsatz,source,year
A10401,Sandwich Mittel,35,35,7,NA,5,0,0,35,100,1.97,24.09.csv,2015
A10405,Sandwich,4.5,4.5,1,NA,4.5,0,0,4.5,100,0.25,24.09.csv,2015
Total Gruppe,NA,1776.7,1776.7,283,0.606,6.28,0,0,1776.7,NA,100,24.09.csv,2015
A10000,Küche,7,7,2,NA,3.5,0,0,7,100,0.59,25.09.csv,2015
A10001,Favorite,450,450,62,NA,7.26,0,0,450,100,38.23,25.09.csv,2015
A10002,Green,158,158,21,NA,7.52,0,0,158,100,13.42,25.09.csv,2015
A10004,Brot Stück,0.6,0.6,2,NA,0.3,0,0,0.6,100,0.05,25.09.csv,2015
A10006,Menu Salat,52.5,52.5,35,NA,1.5,0,0,52.5,100,4.46,25.09.csv,2015
A10010,Kitchen 0,8,8,1,NA,8,0,0,8,100,0.68,25.09.csv,2015
A10011,Kitchen 1,19,19,2,NA,9.5,0,0,19,100,1.61,25.09.csv,2015
A10014,Kitchen 4,287,287,23,NA,12.48,0,0,287,100,24.38,25.09.csv,2015
A10020,Local 0,155,155,21,NA,7.38,0,0,155,100,13.17,25.09.csv,2015
A10040,Garden,16.2,16.2,4,0.702,23.08,0,0,16.2,100,1.38,25.09.csv,2015
A10101,Ragusa-Gipfel ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.2,25.09.csv,2015
A10161,Muffin gross,3,3,1,NA,3,0,0,3,100,0.25,25.09.csv,2015
A10410,Sandwich Milano,4,4,1,NA,4,0,0,4,100,0.34,25.09.csv,2015
