Artikel,name,Bruttobetrag,Nettobetrag,Verkaufte Stücke,Gewicht verkauft,Durchschnittlicher Preis,Rabattierter Betrag,Durchschnittlicher Rabatt,Referenzbetrag,Ref %,Tot %Umsatz,source,year
A10114,Fitnessbrötli ,1.7,1.7,1,NA,1.7,0,0,1.7,100,0.1,10.12.csv,2015
A10122,Nussbrille,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.14,10.12.csv,2015
A10200,Birchermüesli Classic,3.2,3.2,1,NA,3.2,0,0,3.2,100,0.18,10.12.csv,2015
A10401,Sandwich Mittel,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.32,10.12.csv,2015
A10403,Bagel 1,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.32,10.12.csv,2015
A10412,Sandwich Gruyere,4,4,1,NA,4,0,0,4,100,0.23,10.12.csv,2015
A10413,Sandwich Start Your Day,4.5,4.5,1,NA,4.5,0,0,4.5,100,0.26,10.12.csv,2015
A10415,Sandwich Turkey,11,11,2,NA,5.5,0,0,11,100,0.63,10.12.csv,2015
A10451,Sandwich Bauette,5,5,1,NA,5,0,0,5,100,0.29,10.12.csv,2015
L19100,Patisserie offen,3.5,3.5,1,NA,3.5,0,0,3.5,100,0.2,10.12.csv,2015
Total Gruppe,NA,1745.3,1745.3,272,1.572,6.42,0,0,1745.3,NA,100,10.12.csv,2015
A10000,Küche,9.2,9.2,2,NA,4.6,0,0,9.2,100,0.65,11.12.csv,2015
A10001,Favorite,466,466,64,NA,7.28,0,0,466,100,32.85,11.12.csv,2015
A10002,Green,191,191,25,NA,7.64,0,0,191,100,13.46,11.12.csv,2015
A10006,Menu Salat,25.5,25.5,17,NA,1.5,0,0,25.5,100,1.8,11.12.csv,2015
A10007,Senf Mayo Ketschup,0.5,0.5,1,NA,0.5,0,0,0.5,100,0.04,11.12.csv,2015
A10013,Kitchen 3,59,59,5,NA,11.8,0,0,59,100,4.16,11.12.csv,2015
A10014,Kitchen 4,166,166,13,NA,12.77,0,0,166,100,11.7,11.12.csv,2015
A10020,Local 0,422,422,59,NA,7.15,0,0,422,100,29.75,11.12.csv,2015
A10040,Garden,37,37,6,1.606,23.04,0,0,37,100,2.61,11.12.csv,2015
A10073,Saisonfrüchte geschnitten,3.5,3.5,1,NA,3.5,0,0,3.5,100,0.25,11.12.csv,2015
A10101,Ragusa-Gipfel ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.17,11.12.csv,2015
A10102,Mandelgipfel ,7.2,7.2,3,NA,2.4,0,0,7.2,100,0.51,11.12.csv,2015
A10103,Vanille-Gipfel,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.17,11.12.csv,2015
A10108,Laugenbrezel mit Butter,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.17,11.12.csv,2015
A10414,Sandwich Ham & Cheese,5.5,5.5,1,NA,5.5,0,0,5.5,100,0.39,11.12.csv,2015
A10418,Sandwich Gruyere Semmel,4,4,1,NA,4,0,0,4,100,0.28,11.12.csv,2015
A10451,Sandwich Bauette,15,15,3,NA,5,0,0,15,100,1.06,11.12.csv,2015
Total Gruppe,NA,1418.6,1418.6,204,1.606,6.95,0,0,1418.6,NA,100,11.12.csv,2015
A10001,Favorite,760,760,102,NA,7.45,0,0,760,100,36.37,14.12.csv,2015
A10002,Green,423,423,57,NA,7.42,0,0,423,100,20.24,14.12.csv,2015
A10005,Menu Suppe,20,20,12,NA,1.67,0,0,20,100,0.96,14.12.csv,2015
A10006,Menu Salat,31.5,31.5,21,NA,1.5,0,0,31.5,100,1.51,14.12.csv,2015
A10012,Kitchen 2,177,177,17,NA,10.41,0,0,177,100,8.47,14.12.csv,2015
A10020,Local 0,483,483,67,NA,7.21,0,0,483,100,23.12,14.12.csv,2015
A10023,Local 3,34,34,3,NA,11.33,0,0,34,100,1.63,14.12.csv,2015
A10040,Garden,82.8,82.8,14,3.536,23.42,0,0,82.8,100,3.96,14.12.csv,2015
A10063,Frucht 1.00,1,1,1,NA,1,0,0,1,100,0.05,14.12.csv,2015
A10072,Schichtjoghurt,3,3,1,NA,3,0,0,3,100,0.14,14.12.csv,2015
A10100,Gipfel,1.3,1.3,1,NA,1.3,0,0,1.3,100,0.06,14.12.csv,2015
A10101,Ragusa-Gipfel ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.11,14.12.csv,2015
A10102,Mandelgipfel ,2.4,2.4,1,NA,2.4,0,0,2.4,100,0.11,14.12.csv,2015
A10112,Maisbrötli,1.7,1.7,1,NA,1.7,0,0,1.7,100,0.08,14.12.csv,2015
A10114,Fitnessbrötli ,5.1,5.1,3,NA,1.7,0,0,5.1,100,0.24,14.12.csv,2015
A10126,Apfel im Schlafrock,4.8,4.8,2,NA,2.4,0,0,4.8,100,0.23,14.12.csv,2015
A10200,Birchermüesli Classic,16,16,5,NA,3.2,0,0,16,100,0.77,14.12.csv,2015
A10412,Sandwich Gruyere,4,4,1,NA,4,0,0,4,100,0.19,14.12.csv,2015
A10413,Sandwich Start Your Day,13.5,13.5,3,NA,4.5,0,0,13.5,100,0.65,14.12.csv,2015
A10416,Sandwich Ticinese,18,18,3,NA,6,0,0,18,100,0.86,14.12.csv,2015
A10451,Sandwich Bauette,5,5,1,NA,5,0,0,5,100,0.24,14.12.csv,2015
Total Gruppe,NA,2089.5,2089.5,317,3.536,6.59,0,0,2089.5,NA,100,14.12.csv,2015
A10000,Küche,1.9,1.9,1,NA,1.9,0,0,1.9,100,0.11,15.12.csv,2015
A10001,Favorite,852,852,117,NA,7.28,0,0,852,100,51.51,15.12.csv,2015
A10002,Green,274,274,37,NA,7.41,0,0,274,100,16.56,15.12.csv,2015
