"","Artikel","name","Bruttobetrag","Nettobetrag","Verkaufte.Stücke","Gewicht.verkauft","Durchschnittlicher.Preis","Rabattierter.Betrag","Durchschnittlicher.Rabatt","Referenzbetrag","Ref..","Tot..Umsatz","source","year"
"26","A10004","Brot Stück","0.90","0.90",3,NA,0.3,0,0,"0.90",100,0.08,"05.09.csv",2016
"27","A10006","Menu Salat","25.50","25.50",15,NA,1.7,0,0,"25.50",100,2.2,"05.09.csv",2016
"28","A10007","Senf Mayo Ketschup","1.50","1.50",3,NA,0.5,0,0,"1.50",100,0.13,"05.09.csv",2016
"29","A10008","Gemüseportion","1.50","1.50",1,NA,1.5,0,0,"1.50",100,0.13,"05.09.csv",2016
"30","A10040","Garden","180.00","180.00",20,7.79,23.11,0,0,"180.00",100,15.51,"05.09.csv",2016
"31","A10063","Frucht 1.00","1.00","1.00",1,NA,1,0,0,"1.00",100,0.09,"05.09.csv",2016
"32","A10101","Ragusa-Gipfel ","2.40","2.40",1,NA,2.4,0,0,"2.40",100,0.21,"05.09.csv",2016
"33","A10410","Sandwich Milano","4.00","4.00",1,NA,4,0,0,"4.00",100,0.34,"05.09.csv",2016
"34","A10451","Sandwich Bauette","10.00","10.00",2,NA,5,0,0,"10.00",100,0.86,"05.09.csv",2016
"35","Total Gruppe","","1,160.80","1,160.80",163,7.79,7.12,0,0,"1,160.80",NA,100,"05.09.csv",2016
"36","A10000","Küche","13.30","13.30",1,NA,13.3,0,0,"13.30",100,0.94,"06.09.csv",2016
"37","A10001","Favorite","584.00","584.00",71,NA,8.23,0,0,"584.00",100,41.47,"06.09.csv",2016
"38","A10002","Green","574.00","574.00",70,NA,8.2,0,0,"574.00",100,40.76,"06.09.csv",2016
"39","A10004","Brot Stück","0.30","0.30",1,NA,0.3,0,0,"0.30",100,0.02,"06.09.csv",2016
"40","A10006","Menu Salat","13.50","13.50",9,NA,1.5,0,0,"13.50",100,0.96,"06.09.csv",2016
"41","A10007","Senf Mayo Ketschup","0.50","0.50",1,NA,0.5,0,0,"0.50",100,0.04,"06.09.csv",2016
"42","A10040","Garden","194.20","194.20",23,8.414,23.08,0,0,"194.20",100,13.79,"06.09.csv",2016
"43","A10063","Frucht 1.00","1.00","1.00",1,NA,1,0,0,"1.00",100,0.07,"06.09.csv",2016
"44","A10101","Ragusa-Gipfel ","2.40","2.40",1,NA,2.4,0,0,"2.40",100,0.17,"06.09.csv",2016
"45","A10103","Vanille-Gipfel","2.90","2.90",1,NA,2.9,0,0,"2.90",100,0.21,"06.09.csv",2016
"46","A10120","Mandelbrezel ","2.40","2.40",1,NA,2.4,0,0,"2.40",100,0.17,"06.09.csv",2016
"47","A10122","Nussbrille","2.40","2.40",1,NA,2.4,0,0,"2.40",100,0.17,"06.09.csv",2016
"48","A10130","Vanillekreuz","2.40","2.40",1,NA,2.4,0,0,"2.40",100,0.17,"06.09.csv",2016
"49","A10451","Sandwich Bauette","15.00","15.00",3,NA,5,0,0,"15.00",100,1.07,"06.09.csv",2016
"50","Total Gruppe","","1,408.30","1,408.30",185,8.414,7.61,0,0,"1,408.30",NA,100,"06.09.csv",2016
